2837463.84	20
2879913.84	20
2879913.84	20
2964813.84	20
2823313.84	20
3420633.45	20
2978963.84	20
2964813.84	20
2851613.84	20
3078013.84	20
2885573.84	20
2840304.81	20
3399060.30	20
2894063.84	20
3219513.84	20
3719574.84	20
2904230.63	20
2845953.84	20
4719413.84	20
2823313.84	20
2870226.45	20
3303522.39	20
3007263.84	20
3160860.37	20
2837463.84	20
2916391.09	20
2891233.84	20
3540400.50	20
5014553.83	20
2865763.84	20
2915074.44	20
3052286.56	20
3781212.24	20
2850832.38	20
2851613.84	20
3420633.45	20
3714763.84	20
3218878.04	20
3606160.33	20
2894661.72	20
2840718.34	20
2811215.59	20
5891315.17	40
5948315.17	40
5948315.17	40
6062315.17	40
5872315.17	40
6674369.77	40
6081315.17	40
6062315.17	40
5910315.17	40
6214315.17	40
5955915.17	40
5895129.91	40
6645402.29	40
5967315.17	40
6404315.17	40
7075775.17	40
5980966.70	40
5902715.17	40
8418315.17	40
5872315.17	40
5935307.37	40
6517118.17	40
6119315.17	40
6325557.87	40
5891315.17	40
5997295.22	40
5963515.17	40
6835187.72	40
8814616.22	40
5929315.17	40
5995527.29	40
6179769.71	40
7158539.17	40
5909265.86	40
5910315.17	40
6674369.77	40
7069315.17	40
6403461.45	40
6923487.14	40
5968117.98	40
5895685.17	20
5856070.17	20
14230462.18	77
14377462.18	77
14377462.18	77
14671462.18	77
14181462.18	77
16249918.78	77
14720462.18	77
14671462.18	77
14279462.18	77
1506346218.10	40
14397062.18	77
14240300.20	77
16175213.18	77
14426462.18	77
15553462.18	77
1728512218.10	40
14461668.76	77
14259862.18	77
20747462.18	77
14181462.18	77
14343915.76	77
15844375.18	77
14818462.18	77
15350351.26	77
14230462.18	77
14503779.17	77
14416662.18	77
16664659.83	77
21769501.73	77
14328462.18	77
14499219.76	77
14974371.27	77
17498566.18	77
14276756.07	77
14279462.18	77
16249918.78	77
17268462.18	77
15551260.48	77
16892379.38	77
14428532.60	77
14241732.18	20
14139567.18	20
288174.16	7
204224.12	5
76591.10	2
122116.87	3
70956.00	2
116159.58	3
1944585.68	50
391985.71	10
384634.68	10
588543.71	15
80009.21	2
925856.58	24
1157875.11	28
465377.38	12
3626977.07	95
962230.12	24
155725.33	4
258914.10	6
110489.22	2
124845.59	3
345102.37	8
38593.39	1
117576.90	3
163708.13	4
77905.32	2
86127.05	2
178079.70	4
116598.11	3
123735.44	3
351102.49	8
940561.74	20
240307.60	6
396036.52	10
387107.37	10
285852.90	7
153695.49	4
190702.60	5
270811.31	7
417168.90	10
388724.22	10
175291.43	4
205787.56	5
305374.55	8
53938.08	1
54354.73	1
206010.32	5
124193.25	3
80455.77	2
120484.96	3
622983.55	16
